date,caudal_santodomingo_m3s,volumen_santodomingo_mmc
1940-03-01,26.617,71.29
1940-04-01,14.82,38.41
1940-05-01,11.961,32.04
1940-06-01,10.908,28.27
1940-07-01,8.178,21.9
1940-08-01,5.679,15.21
1940-09-01,7.96,20.63
1940-10-01,7.403,19.83
1940-11-01,7.703,19.97
1940-12-01,6.952,18.62
1941-01-01,31.629,84.72
1941-02-01,46.679,112.93
1941-03-01,60.823,162.91
1941-04-01,9.553,24.76
1941-05-01,5.635,15.09
1941-06-01,4.94,12.8
1941-07-01,3.732,10.0
1941-08-01,3.645,9.76
1941-09-01,3.72,9.64
1941-10-01,3.768,10.09
1941-11-01,7.627,19.77
1941-12-01,10.371,27.78
1942-01-01,19.306,51.71
1942-02-01,42.089,101.82
1942-03-01,35.677,95.56
1942-04-01,19.333,50.11
1942-05-01,12.939,34.66
1942-06-01,7.29,18.9
1942-07-01,5.852,15.67
1942-08-01,5.474,14.66
1942-09-01,4.587,11.89
1942-10-01,4.683,12.54
1942-11-01,4.255,11.03
1942-12-01,7.48,20.03
1943-01-01,63.038,168.84
1943-02-01,36.67,88.71
1943-03-01,67.11,179.75
1943-04-01,93.258,241.72
1943-05-01,11.582,31.02
1943-06-01,5.149,13.35
1943-07-01,5.606,15.02
1943-08-01,5.216,13.97
1943-09-01,6.283,16.29
1943-10-01,8.409,22.52
1943-11-01,8.206,21.27
1943-12-01,9.921,26.57
1944-01-01,20.136,53.93
1944-02-01,30.731,77.0
1944-03-01,40.214,107.71
1944-04-01,26.376,68.37
1944-05-01,13.319,35.67
1944-06-01,4.965,12.87
1944-07-01,5.212,13.96
1944-08-01,4.029,10.79
1944-09-01,3.759,9.74
1944-10-01,4.474,11.98
1944-11-01,6.189,16.04
1944-12-01,6.816,18.26
1945-01-01,11.85,31.74
1945-02-01,15.021,36.34
1945-03-01,18.835,50.45
1945-04-01,14.69,38.08
1945-05-01,8.15,21.83
1945-06-01,4.598,11.92
1945-07-01,3.426,9.18
1945-08-01,2.81,7.53
1945-09-01,2.83,7.34
1945-10-01,3.142,8.42
1945-11-01,3.357,8.7
1945-12-01,11.768,31.52
1946-01-01,20.903,55.99
1946-02-01,24.0,58.06
1946-03-01,43.065,115.35
1946-04-01,25.583,66.31
1946-05-01,15.827,42.39
1946-06-01,9.872,25.59
1946-07-01,4.681,12.54
1946-08-01,3.087,8.27
1946-09-01,2.932,7.6
1946-10-01,3.706,9.93
1946-11-01,5.726,14.84
1946-12-01,17.423,46.67
1947-01-01,20.032,53.65
1947-02-01,36.393,88.04
1947-03-01,41.097,110.07
1947-04-01,19.46,50.44
1947-05-01,9.103,24.38
1947-06-01,6.143,15.92
1947-07-01,3.866,10.35
1947-08-01,3.087,8.27
1947-09-01,2.877,7.46
1947-10-01,5.763,15.44
1947-11-01,5.496,14.25
1947-12-01,11.925,31.94
1948-01-01,42.146,112.88
1948-02-01,33.5,83.94
1948-03-01,32.887,88.08
1948-04-01,24.733,64.11
1948-05-01,10.171,27.24
1948-06-01,7.613,19.73
1948-07-01,5.287,14.16
1948-08-01,4.91,13.15
1948-09-01,6.144,15.93
1948-10-01,10.034,26.88
1948-11-01,7.13,18.48
1948-12-01,5.109,13.68
1949-01-01,12.168,32.59
1949-02-01,18.628,45.06
1949-03-01,46.005,123.22
1949-04-01,26.127,67.72
1949-05-01,5.676,15.2
1949-06-01,5.196,13.47
1949-07-01,5.236,14.02
1949-08-01,4.342,11.63
1949-09-01,4.031,10.45
1949-10-01,3.989,10.68
1949-11-01,6.891,17.86
1949-12-01,3.48,9.32
1950-01-01,14.034,37.59
1950-02-01,18.968,45.89
1950-03-01,15.991,42.83
1950-04-01,16.997,44.06
1950-05-01,10.779,28.87
1950-06-01,8.023,20.8
1950-07-01,5.183,13.88
1950-08-01,3.41,9.13
1950-09-01,5.383,13.95
1950-10-01,5.383,14.42
1950-11-01,4.572,11.85
1950-12-01,16.248,43.52
1951-01-01,17.075,45.73
1951-02-01,47.822,115.69
1951-03-01,69.321,185.67
1951-04-01,29.442,76.31
1951-05-01,12.509,33.5
1951-06-01,5.289,13.71
1951-07-01,4.707,12.61
1951-08-01,3.24,8.68
1951-09-01,3.182,8.25
1951-10-01,4.636,12.42
1951-11-01,34.282,88.86
1951-12-01,13.881,37.18
1952-01-01,39.109,104.75
1952-02-01,52.212,130.82
1952-03-01,51.548,138.07
1952-04-01,36.69,95.1
1952-05-01,12.036,32.24
1952-06-01,6.974,18.08
1952-07-01,4.243,11.36
1952-08-01,3.267,8.75
1952-09-01,4.811,12.47
1952-10-01,4.993,13.37
1952-11-01,6.29,16.3
1952-12-01,10.987,29.43
1953-01-01,22.187,59.43
1953-02-01,83.395,201.75
1953-03-01,47.899,128.29
1953-04-01,22.687,58.8
1953-05-01,10.767,28.84
1953-06-01,5.8,15.03
1953-07-01,4.147,11.11
1953-08-01,3.932,10.53
1953-09-01,4.491,11.64
1953-10-01,4.331,11.6
1953-11-01,11.47,29.73
1953-12-01,14.3,38.3
1954-01-01,35.937,96.25
1954-02-01,45.349,109.71
1954-03-01,63.566,170.26
1954-04-01,14.588,37.81
1954-05-01,9.247,24.77
1954-06-01,6.714,17.4
1954-07-01,4.532,12.14
1954-08-01,4.617,12.37
1954-09-01,5.743,14.89
1954-10-01,6.228,16.68
1954-11-01,9.481,24.57
1954-12-01,5.918,15.85
1955-01-01,15.299,40.98
1955-02-01,43.773,105.9
1955-03-01,49.419,132.36
1955-04-01,21.077,54.63
1955-05-01,11.562,30.97
1955-06-01,7.184,18.62
1955-07-01,5.104,13.67
1955-08-01,4.862,13.02
1955-09-01,5.181,13.43
1955-10-01,5.777,15.47
1955-11-01,5.358,13.89
1955-12-01,5.627,15.07
1956-01-01,8.838,23.67
1956-02-01,26.984,67.61
1956-03-01,27.291,73.1
1956-04-01,26.429,68.5
1956-05-01,13.164,35.26
1956-06-01,5.719,14.82
1956-07-01,4.643,12.44
1956-08-01,4.461,11.95
1956-09-01,4.595,11.91
1956-10-01,4.97,13.31
1956-11-01,5.289,13.71
1956-12-01,5.441,14.57
1957-01-01,6.715,17.99
1957-02-01,27.758,67.15
1957-03-01,25.136,67.32
1957-04-01,21.91,56.79
1957-05-01,8.238,22.06
1957-06-01,4.765,12.35
1957-07-01,3.879,10.39
1957-08-01,3.54,9.48
1957-09-01,3.742,9.7
1957-10-01,4.032,10.8
1957-11-01,4.915,12.74
1957-12-01,6.711,17.97
1958-01-01,11.472,30.73
1958-02-01,23.989,58.03
1958-03-01,35.922,96.21
1958-04-01,10.864,28.16
1958-05-01,6.79,18.19
1958-06-01,4.81,12.47
1958-07-01,3.876,10.38
1958-08-01,3.7,9.91
1958-09-01,3.312,8.58
1958-10-01,4.446,11.91
1958-11-01,4.063,10.53
1958-12-01,5.217,13.97
1959-01-01,5.136,13.76
1959-02-01,36.699,88.78
1959-03-01,36.76,98.46
1959-04-01,35.836,92.89
1959-05-01,9.972,26.71
1959-06-01,5.221,13.53
1959-07-01,4.411,11.81
1959-08-01,4.153,11.12
1959-09-01,3.685,9.55
1959-10-01,5.244,14.05
1959-11-01,5.672,14.7
1959-12-01,18.522,49.61
1960-01-01,25.921,69.43
1960-02-01,30.995,77.66
1960-03-01,34.65,92.81
1960-04-01,13.477,34.93
1960-05-01,6.92,18.53
1960-06-01,4.818,12.49
1960-07-01,4.436,11.88
1960-08-01,4.361,11.68
1960-09-01,4.539,11.77
1960-10-01,5.092,13.64
1960-11-01,6.114,15.85
1960-12-01,5.923,15.86
1961-01-01,21.989,58.9
1961-02-01,56.822,137.46
1961-03-01,39.5,105.8
1961-04-01,47.783,123.85
1961-05-01,11.549,30.93
1961-06-01,5.228,13.55
1961-07-01,5.134,13.75
1961-08-01,4.901,13.13
1961-09-01,4.713,12.22
1961-10-01,4.834,12.95
1961-11-01,11.485,29.77
1961-12-01,40.326,108.01
1962-01-01,35.551,95.22
1962-02-01,31.85,77.05
1962-03-01,59.063,158.19
1962-04-01,26.903,69.73
1962-05-01,11.274,30.2
1962-06-01,6.376,16.53
1962-07-01,5.583,14.95
1962-08-01,5.123,13.72
1962-09-01,4.815,12.48
1962-10-01,5.144,13.78
1962-11-01,5.913,15.33
1962-12-01,6.673,17.87
1963-01-01,24.779,66.37
1963-02-01,53.457,129.32
1963-03-01,82.614,221.27
1963-04-01,32.618,84.55
1963-05-01,9.755,26.13
1963-06-01,5.925,15.36
1963-07-01,6.758,18.1
1963-08-01,5.434,14.55
1963-09-01,5.068,13.14
1963-10-01,5.16,13.82
1963-11-01,10.207,26.46
1963-12-01,23.995,64.27
1964-01-01,11.116,29.77
1964-02-01,36.754,92.09
1964-03-01,69.567,186.33
1964-04-01,41.685,108.05
1964-05-01,12.977,34.76
1964-06-01,7.893,20.46
1964-07-01,5.776,15.47
1964-08-01,5.933,15.89
1964-09-01,5.407,14.01
1964-10-01,6.26,16.77
1964-11-01,8.022,20.79
1964-12-01,6.871,18.4
1965-01-01,13.402,35.9
1965-02-01,37.006,89.52
1965-03-01,97.351,260.74
1965-04-01,19.952,51.72
1965-05-01,8.71,23.33
1965-06-01,6.535,16.94
1965-07-01,5.545,14.85
1965-08-01,5.204,13.94
1965-09-01,4.723,12.24
1965-10-01,4.807,12.88
1965-11-01,5.846,15.15
1965-12-01,7.573,20.28
1966-01-01,16.599,44.46
1966-02-01,13.929,33.7
1966-03-01,24.506,65.64
1966-04-01,10.705,27.75
1966-05-01,6.451,17.28
1966-06-01,4.969,12.88
1966-07-01,4.048,10.84
1966-08-01,3.464,9.28
1966-09-01,3.175,8.23
1966-10-01,8.92,23.89
1966-11-01,9.503,24.63
1966-12-01,19.484,52.19
1967-01-01,34.426,92.21
1967-02-01,135.475,327.74
1967-03-01,113.572,304.19
1967-04-01,20.757,53.8
1967-05-01,10.979,29.41
1967-06-01,7.069,18.32
1967-07-01,5.915,15.84
1967-08-01,5.509,14.76
1967-09-01,5.298,13.73
1967-10-01,7.768,20.81
1967-11-01,6.769,17.55
1967-12-01,7.743,20.74
1968-01-01,12.88,34.5
1968-02-01,11.044,27.67
1968-03-01,22.374,59.93
1968-04-01,12.006,31.12
1968-05-01,4.505,12.07
1968-06-01,4.157,10.77
1968-07-01,4.144,11.1
1968-08-01,4.024,10.78
1968-09-01,3.743,9.7
1968-10-01,5.132,13.75
1968-11-01,7.657,19.85
1968-12-01,7.321,19.61
1969-01-01,6.923,18.54
1969-02-01,12.112,29.3
1969-03-01,52.285,140.04
1969-04-01,28.287,73.32
1969-05-01,6.105,16.35
1969-06-01,4.301,11.15
1969-07-01,3.879,10.39
1969-08-01,3.702,9.92
1969-09-01,3.356,8.7
1969-10-01,4.397,11.78
1969-11-01,4.361,11.3
1969-12-01,33.986,91.03
1970-01-01,85.506,229.02
1970-02-01,26.894,65.06
1970-03-01,23.886,63.98
1970-04-01,17.836,46.23
1970-05-01,12.505,33.49
1970-06-01,8.835,22.9
1970-07-01,5.787,15.5
1970-08-01,4.688,12.56
1970-09-01,7.183,18.62
1970-10-01,5.525,14.8
1970-11-01,7.015,18.18
1970-12-01,13.693,36.68
1971-01-01,25.939,69.48
1971-02-01,36.55,88.42
1971-03-01,50.191,134.43
1971-04-01,25.75,66.74
1971-05-01,8.302,22.24
1971-06-01,6.954,18.02
1971-07-01,5.954,15.95
1971-08-01,5.57,14.92
1971-09-01,5.167,13.39
1971-10-01,4.986,13.35
1971-11-01,5.896,15.28
1971-12-01,9.962,26.68
1972-01-01,31.217,83.61
1972-02-01,36.667,91.87
1972-03-01,219.398,587.64
1972-04-01,39.674,102.84
1972-05-01,15.436,41.34
1972-06-01,10.325,26.76
1972-07-01,7.187,19.25
1972-08-01,6.888,18.45
1972-09-01,6.114,15.85
1972-10-01,6.013,16.11
1972-11-01,6.457,16.74
1972-12-01,16.384,43.88
1973-01-01,45.165,120.97
1973-02-01,47.643,115.26
1973-03-01,72.174,193.31
1973-04-01,43.728,113.34
1973-05-01,17.917,47.99
1973-06-01,10.169,26.36
1973-07-01,7.313,19.59
1973-08-01,6.798,18.21
1973-09-01,7.6,19.7
1973-10-01,9.163,24.54
1973-11-01,9.047,23.45
1973-12-01,24.896,66.68
1974-01-01,39.763,106.5
1974-02-01,58.194,140.78
1974-03-01,61.669,165.17
1974-04-01,24.918,64.59
1974-05-01,12.588,33.72
1974-06-01,9.462,24.53
1974-07-01,7.744,20.74
1974-08-01,7.313,19.59
1974-09-01,5.985,15.51
1974-10-01,5.019,13.44
1974-11-01,5.567,14.43
1974-12-01,5.633,15.09
1975-01-01,15.167,40.62
1975-02-01,16.218,39.23
1975-03-01,60.068,160.89
1975-04-01,18.395,47.68
1975-05-01,10.143,27.17
1975-06-01,7.332,19.0
1975-07-01,5.556,14.88
1975-08-01,5.456,14.61
1975-09-01,5.461,14.15
1975-10-01,5.725,15.33
1975-11-01,6.128,15.88
1975-12-01,7.944,21.28
1976-01-01,22.982,61.55
1976-02-01,47.141,118.12
1976-03-01,47.752,127.9
1976-04-01,20.66,53.55
1976-05-01,9.561,25.61
1976-06-01,7.419,19.23
1976-07-01,6.191,16.58
1976-08-01,5.622,15.06
1976-09-01,5.976,15.49
1976-10-01,4.968,13.31
1976-11-01,4.91,12.73
1976-12-01,6.558,17.56
1977-01-01,11.036,29.56
1977-02-01,51.774,125.25
1977-03-01,45.485,121.83
1977-04-01,19.713,51.1
1977-05-01,8.839,23.67
1977-06-01,6.279,16.28
1977-07-01,5.472,14.66
1977-08-01,4.845,12.98
1977-09-01,4.326,11.21
1977-10-01,4.396,11.77
1977-11-01,10.381,26.91
1977-12-01,10.754,28.8
1978-01-01,10.031,26.87
1978-02-01,31.557,76.34
1978-03-01,20.857,55.86
1978-04-01,13.294,34.46
1978-05-01,6.388,17.11
1978-06-01,5.398,13.99
1978-07-01,4.407,11.8
1978-08-01,4.342,11.63
1978-09-01,4.94,12.8
1978-10-01,4.581,12.27
1978-11-01,6.47,16.77
1978-12-01,8.047,21.55
1979-01-01,6.631,17.76
1979-02-01,26.25,63.5
1979-03-01,51.204,137.14
1979-04-01,13.295,34.46
1979-05-01,6.193,16.59
1979-06-01,6.126,15.88
1979-07-01,4.821,12.91
1979-08-01,4.768,12.77
1979-09-01,3.888,10.08
1979-10-01,3.756,10.06
1979-11-01,4.002,10.37
1979-12-01,4.606,12.34
1980-01-01,18.908,50.64
1980-02-01,9.894,24.79
1980-03-01,19.854,53.18
1980-04-01,14.766,38.27
1980-05-01,6.52,17.46
1980-06-01,6.189,16.04
1980-07-01,4.126,11.05
1980-08-01,3.903,10.45
1980-09-01,3.894,10.09
1980-10-01,6.619,17.73
1980-11-01,6.627,17.18
1980-12-01,12.446,33.34
1981-01-01,15.639,41.89
1981-02-01,65.193,157.71
1981-03-01,68.987,184.77
1981-04-01,25.927,67.2
1981-05-01,7.964,21.33
1981-06-01,6.948,18.01
1981-07-01,5.655,15.15
1981-08-01,5.121,13.72
1981-09-01,5.255,13.62
1981-10-01,5.941,15.91
1981-11-01,8.004,20.75
1981-12-01,11.573,31.0
1982-01-01,14.634,39.2
1982-02-01,48.401,117.09
1982-03-01,22.939,61.44
1982-04-01,18.488,47.92
1982-05-01,8.797,23.56
1982-06-01,6.625,17.17
1982-07-01,5.628,15.07
1982-08-01,5.685,15.23
1982-09-01,5.243,13.59
1982-10-01,5.469,14.65
1982-11-01,16.964,43.97
1982-12-01,15.522,41.57
1983-01-01,26.945,72.17
1983-02-01,51.894,125.54
1983-03-01,47.036,125.98
1983-04-01,39.019,101.14
1983-05-01,9.266,24.82
1983-06-01,5.251,13.61
1983-07-01,4.835,12.95
1983-08-01,4.513,12.09
1983-09-01,4.204,10.9
1983-10-01,4.917,13.17
1983-11-01,4.961,12.86
1983-12-01,11.476,30.74
1984-01-01,13.086,35.05
1984-02-01,62.945,157.71
1984-03-01,48.904,130.98
1984-04-01,22.615,58.62
1984-05-01,12.584,33.7
1984-06-01,9.271,24.03
1984-07-01,6.557,17.56
1984-08-01,5.814,15.57
1984-09-01,5.313,13.77
1984-10-01,6.59,17.65
1984-11-01,7.563,19.6
1984-12-01,13.628,36.5
1985-01-01,9.199,24.64
1985-02-01,18.091,43.77
1985-03-01,39.059,104.62
1985-04-01,20.077,52.04
1985-05-01,12.578,33.69
1985-06-01,8.462,21.93
1985-07-01,6.575,17.61
1985-08-01,5.913,15.84
1985-09-01,5.909,15.32
1985-10-01,6.616,17.72
1985-11-01,5.396,13.99
1985-12-01,11.407,30.55
1986-01-01,30.152,80.76
1986-02-01,35.675,86.3
1986-03-01,46.922,125.68
1986-04-01,35.338,91.6
1986-05-01,19.197,51.42
1986-06-01,9.225,23.91
1986-07-01,6.471,17.33
1986-08-01,5.699,15.26
1986-09-01,5.679,14.72
1986-10-01,5.404,14.47
1986-11-01,5.786,15.0
1986-12-01,15.371,41.17
1987-01-01,46.064,123.38
1987-02-01,77.763,188.12
1987-03-01,27.416,73.43
1987-04-01,15.508,40.2
1987-05-01,12.121,32.46
1987-06-01,4.567,11.84
1987-07-01,4.518,12.1
1987-08-01,5.255,14.07
1987-09-01,4.723,12.24
1987-10-01,4.935,13.22
1987-11-01,5.573,14.45
1987-12-01,10.588,28.36
1988-01-01,12.074,32.34
1988-02-01,27.565,69.07
1988-03-01,23.676,63.41
1988-04-01,10.904,28.26
1988-05-01,7.371,19.74
1988-06-01,6.199,16.07
1988-07-01,5.466,14.64
1988-08-01,4.85,12.99
1988-09-01,5.514,14.29
1988-10-01,4.6,12.32
1988-11-01,4.199,10.88
1988-12-01,5.064,13.56
1989-01-01,27.77,74.38
1989-02-01,48.104,116.37
