date,asuncion,callancas,campoden,capachique,casa_grande,cascas,coina,contumaza,cospan,otuzco,san_benito,sinsicap,sunchubamba,tambo
1984-10-01,6.0,2.0,49.0,131.0,1.0,8.0,38.0,54.0,6.0,1.0,20.0,54.0,39.0,10.0
1984-11-01,64.0,68.0,24.0,55.0,1.0,9.0,114.0,27.0,17.0,22.0,9.0,12.0,40.0,2.0
1984-12-01,171.0,18.0,91.0,31.0,2.0,17.0,18.0,29.0,46.0,3.0,11.0,7.0,82.0,1.0
1985-01-01,77.0,2.0,31.0,58.0,0.0,28.0,194.0,44.0,36.0,77.0,29.0,30.0,110.0,2.0
1985-02-01,137.0,72.0,152.0,85.0,2.0,72.0,141.0,91.0,187.0,23.0,58.0,27.0,182.0,51.0
1985-03-01,156.0,50.0,144.0,181.0,0.0,32.0,54.0,56.0,159.0,33.0,52.0,26.0,181.0,27.0
1985-04-01,84.0,18.0,51.0,66.0,1.0,9.0,157.0,31.0,36.0,7.0,6.0,8.0,82.0,5.0
1985-05-01,59.0,0.0,8.0,22.0,2.0,3.0,21.0,19.0,42.0,21.0,14.0,4.0,64.0,0.0
1985-06-01,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0
1985-07-01,1.0,0.0,0.0,2.0,0.0,0.0,0.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0
1985-08-01,0.0,5.0,1.0,2.0,1.0,0.0,0.0,32.0,0.0,12.0,1.0,0.0,10.0,0.0
1985-09-01,4.0,22.0,5.0,21.0,4.0,1.0,3.0,62.0,12.0,25.0,10.0,3.0,56.0,3.0
1985-10-01,0.0,0.0,54.0,17.0,0.0,9.0,12.0,16.0,0.0,3.0,4.0,0.0,55.0,3.0
1985-11-01,92.0,0.0,30.0,23.0,0.0,0.0,22.0,9.0,30.0,24.0,2.0,0.0,58.0,0.0
1985-12-01,110.0,24.0,13.0,73.0,0.0,3.0,127.0,204.0,62.0,23.0,43.0,13.0,113.0,2.0
1986-01-01,205.0,136.0,127.0,189.0,6.0,48.0,142.0,94.0,145.0,120.0,31.0,90.0,154.0,13.0
1986-02-01,96.0,44.0,46.0,20.0,0.0,1.0,220.0,13.0,3.0,52.0,38.0,21.0,111.0,1.0
1986-03-01,296.0,55.0,101.0,158.0,2.0,38.0,123.0,179.0,58.0,44.0,50.0,25.0,121.0,41.0
1986-04-01,149.0,83.0,92.0,224.0,4.0,34.0,91.0,191.0,90.0,42.0,77.0,72.0,96.0,24.0
1986-05-01,10.0,3.0,5.0,40.0,0.0,0.0,25.0,45.0,8.0,14.0,0.0,0.0,9.0,0.0
1986-06-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
1986-07-01,4.0,3.0,0.0,6.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
1986-08-01,2.0,10.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
1986-09-01,16.0,0.0,0.0,88.0,0.0,6.0,1.0,0.0,23.0,0.0,1.0,0.0,5.0,0.0
1986-10-01,9.0,10.0,3.0,83.0,1.0,0.0,1.0,0.0,13.0,0.0,4.0,4.0,17.0,0.0
1986-11-01,83.0,25.0,16.0,88.0,1.0,1.0,75.0,0.0,74.0,25.0,0.0,6.0,60.0,0.0
1986-12-01,127.0,39.0,34.0,101.0,0.0,10.0,107.0,92.0,30.0,15.0,7.0,31.0,126.0,3.0
1987-01-01,389.0,124.0,363.0,96.0,3.0,64.0,209.0,447.0,426.0,163.0,49.0,130.0,259.0,13.0
1987-02-01,114.0,85.0,667.0,66.0,2.0,92.0,198.0,284.0,429.0,102.0,1203.0,270.0,155.0,78.0
1987-03-01,121.0,64.0,164.0,250.0,8.0,141.0,85.0,240.0,240.0,65.0,41.0,35.0,176.0,38.0
1987-04-01,84.0,68.0,68.0,233.0,9.0,37.0,124.0,16.0,51.0,55.0,43.0,49.0,60.0,41.0
1987-05-01,7.0,3.0,8.0,73.0,0.0,6.0,13.0,0.0,0.0,20.0,4.0,8.0,55.0,6.0
1987-06-01,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,16.0,0.0
1987-07-01,8.0,4.0,1.0,9.0,0.0,0.0,0.0,18.0,0.0,1.0,0.0,6.0,1.0,4.0
1987-08-01,11.0,4.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,1.0,4.0,0.0,0.0,0.0
1987-09-01,28.0,2.0,3.0,22.0,0.0,12.0,21.0,8.0,7.0,21.0,4.0,11.0,9.0,0.0
1987-10-01,13.0,10.0,17.0,118.0,0.0,2.0,30.0,2.0,15.0,5.0,5.0,7.0,49.0,1.0
1987-11-01,75.0,12.0,13.0,86.0,2.0,3.0,31.0,30.0,3.0,5.0,10.0,24.0,13.0,20.0
1987-12-01,49.0,23.0,21.0,43.0,1.0,20.0,39.0,8.0,49.0,6.0,5.0,14.0,76.0,12.0
