date,caudal_yonan_m3s,volumen_yonan_mmc
2000-05-01,65.07,174.28
2000-06-01,24.54,63.61
2000-07-01,9.64,25.82
2000-08-01,5.0,13.39
2000-09-01,7.31,18.95
2000-10-01,4.41,11.81
2000-11-01,2.04,5.29
2000-12-01,20.39,54.61
2001-01-01,88.94,238.22
2001-02-01,82.72,200.12
2001-03-01,237.64,636.49
2001-04-01,128.52,333.12
2001-05-01,40.48,108.42
2001-06-01,21.83,56.58
2001-07-01,10.03,26.86
2001-08-01,2.73,7.31
2001-09-01,2.47,6.4
2001-10-01,5.52,14.78
2001-11-01,21.14,54.79
2001-12-01,23.97,64.2
2002-01-01,16.77,44.92
2002-02-01,40.64,98.32
2002-03-01,154.26,413.17
2002-04-01,130.02,337.01
2002-05-01,29.41,78.77
2002-06-01,16.22,42.04
2002-07-01,5.49,14.7
2002-08-01,1.37,3.67
2002-09-01,1.21,3.14
2002-10-01,8.71,23.33
2002-11-01,26.89,69.7
2002-12-01,52.36,140.24
2003-01-01,32.96,88.28
2003-02-01,49.54,119.85
2003-03-01,50.81,136.09
2003-04-01,48.01,124.44
2003-05-01,22.05,59.06
2003-06-01,10.83,28.07
2003-07-01,3.98,10.66
