date,precipitacion_asuncion_mm,precipitacion_chilete_mm,precipitacion_contumaza_mm,precipitacion_granjaporcon_mm,precipitacion_huacraruro_mm,precipitacion_livis_mm,precipitacion_llapa_mm,precipitacion_magdalena_mm,precipitacion_montegrande_mm,precipitacion_quebradahonda_mm,precipitacion_quilcate_mm,precipitacion_sanjuan_mm,precipitacion_talla_mm
1971-10-01,33.2,4.1,59.4,220.5,107.9,14.8,97.0,18.5,NA,63.4,251.9,78.2,2.9
1971-11-01,13.4,4.8,36.8,163.0,44.6,14.6,78.0,25.0,NA,75.8,74.6,34.8,0.0
1971-12-01,41.7,9.4,42.5,166.0,166.7,31.3,109.5,47.0,NA,90.0,72.5,142.9,2.0
1972-01-01,93.9,28.1,100.5,104.0,128.3,54.3,66.2,40.6,NA,114.8,123.3,81.1,2.5
1972-02-01,120.2,39.2,140.4,150.0,126.9,92.0,87.9,51.7,NA,47.2,46.3,144.6,3.1
1972-03-01,161.2,87.2,541.0,257.0,438.1,330.6,325.0,109.8,NA,243.8,56.3,294.6,119.3
1972-04-01,44.9,10.2,62.9,149.5,156.6,63.0,89.4,27.5,NA,166.3,34.3,111.0,1.0
1972-05-01,12.3,3.2,3.2,55.2,53.2,17.0,75.4,10.8,NA,85.3,26.4,37.6,3.5
1972-06-01,NA,NA,2.0,14.5,4.6,0.0,15.6,0.4,NA,19.4,58.0,0.5,0.0
1972-07-01,NA,0.8,3.0,NA,5.3,0.0,1.3,0.2,NA,12.3,5.9,2.3,0.0
1972-08-01,NA,NA,NA,47.0,2.8,0.8,3.3,NA,NA,13.8,23.6,NA,0.5
1972-09-01,10.7,2.2,5.2,NA,30.3,7.0,63.9,7.4,NA,13.3,37.0,35.7,0.0
1972-10-01,NA,7.8,11.2,29.5,34.9,6.6,35.8,15.8,NA,4.7,49.5,23.9,0.6
1972-11-01,32.3,12.2,23.0,172.7,60.6,35.9,40.2,26.5,NA,38.9,111.8,47.3,5.2
