date,precipitacion_total_mm,precipitacion_total_mmc
2002-03-01,45.69,136.642
2002-04-01,23.66,70.75
2002-05-01,4.03,12.063
2002-06-01,0.04,0.128
2002-07-01,0.14,0.406
2002-08-01,0.07,0.2
2002-09-01,4.9,14.653
2002-10-01,36.78,109.998
2002-11-01,42.35,126.668
2002-12-01,13.41,40.097
2003-01-01,22.07,66.009
2003-02-01,23.39,69.965
2003-03-01,34.24,102.391
2003-04-01,7.41,22.152
2003-05-01,1.2,3.6
2003-06-01,0.25,0.755
2003-07-01,0.42,1.245
2003-08-01,0.07,0.2
2003-09-01,0.63,1.898
2003-10-01,10.92,32.649
2003-11-01,4.02,12.034
2003-12-01,37.09,110.914
2004-01-01,17.1,51.137
2004-02-01,24.29,72.652
2004-03-01,41.22,123.27
2004-04-01,20.03,59.892
2004-05-01,0.49,1.472
2004-06-01,0.31,0.939
2004-07-01,0.03,0.096
2004-08-01,0.07,0.2
2004-09-01,5.75,17.202
2004-10-01,22.94,68.613
2004-11-01,17.43,52.122
2004-12-01,20.4,61.0
2005-01-01,15.87,47.452
2005-02-01,17.75,53.081
2005-03-01,39.16,117.107
2005-04-01,12.82,38.355
2005-05-01,0.71,2.116
2005-06-01,0.04,0.128
2005-07-01,0.03,0.096
2005-08-01,0.11,0.328
2005-09-01,0.82,2.44
2005-10-01,5.22,15.601
2005-11-01,2.54,7.594
2005-12-01,20.23,60.495
2006-01-01,26.3,78.661
2006-02-01,54.23,162.202
2006-03-01,69.54,207.989
2006-04-01,21.57,64.52
2006-05-01,0.5,1.507
2006-06-01,0.04,0.128
2006-07-01,1.1,3.281
2006-08-01,0.13,0.392
2006-09-01,1.05,3.14
2006-10-01,4.9,14.645
2006-11-01,11.88,35.533
2006-12-01,27.63,82.65
