date,precipitacion_cabanaconde_mm,precipitacion_tisco_mm,precipitacion_huambo_mm,precipitacion_madrigal_mm,precipitacion_chivay_mm,precipitacion_sibayo_mm,precipitacion_chuquibamba_mm,precipitacion_condoroma_mm,precipitacion_crucero_mm,precipitacion_imata_mm,precipitacion_angostura_mm,precipitacion_frayle_mm,precipitacion_pane_mm,precipitacion_caylloma_mm,precipitacion_yanque_mm,precipitacion_calera_mm,precipitacion_sumbay_mm,precipitacion_visuyo_mm,precipitacion_huanca_mm,precipitacion_aplao_mm,precipitacion_pampademajes_mm,precipitacion_porpera_mm,precipitacion_pampadearrieros_mm
1971-03-01,46.42,101.24,62.4,32.43,45.8,88.71,0.01,75.39,87.0,100.6,104.7,49.9,135.0,100.12,93.7,213.2,59.95,176.91,0.01,0.0,0.01,203.84,10.7
1971-04-01,18.0,30.1,10.1,28.4,20.1,30.12,4.0,26.05,0.4,15.6,24.2,13.7,39.6,23.84,52.0,48.92,11.92,23.43,0.0,0.0,2.7,30.31,0.0
1971-05-01,0.0,2.6,0.03,0.0,0.0,0.91,0.0,3.6,0.0,1.0,8.0,0.0,3.6,3.61,0.0,1.94,0.0,11.51,0.0,0.0,3.8,2.5,0.0
1971-06-01,0.01,0.91,0.03,0.0,0.0,0.0,0.0,1.76,0.0,1.2,0.01,0.0,2.4,0.02,0.0,0.01,0.0,0.01,0.0,0.0,0.9,0.51,0.0
1971-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.01,0.0,0.0,0.0,0.0,0.0
1971-08-01,0.0,0.0,0.03,0.0,1.7,1.5,0.0,0.0,0.0,1.2,0.02,0.0,4.3,1.01,0.0,0.1,0.0,3.2,0.0,0.01,0.6,0.0,0.0
1971-09-01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.93,2.1,0.0,0.03,0.0,0.62,0.02,0.0,30.31,0.0,7.0,0.0,0.0,0.12,0.0,0.0
1971-10-01,5.6,5.01,4.1,5.6,4.5,17.01,0.01,6.73,5.5,4.1,9.9,0.0,3.9,3.32,15.4,35.61,0.0,22.02,0.0,0.0,0.0,14.4,0.0
1971-11-01,0.3,2.2,0.03,0.0,4.5,14.7,0.01,6.73,14.0,11.5,16.0,7.3,23.9,14.9,2.9,29.35,5.8,19.2,0.0,0.0,0.5,14.72,0.0
1971-12-01,103.1,132.62,43.82,60.23,60.4,101.2,22.1,131.79,121.33,91.9,137.2,55.1,157.01,134.01,66.4,96.82,58.32,95.61,4.11,4.7,7.9,120.04,34.7
