date,caudal_aguas_calientes_m3_s,volumen_aguas_calientes_mmc
1979-03-01,1.18,3.1605
1979-04-01,0.67,1.7366
1979-05-01,0.63,1.6874
1979-06-01,0.63,1.633
1979-07-01,0.63,1.6874
1979-08-01,0.59,1.5803
1979-09-01,0.57,1.4774
1979-10-01,0.53,1.4196
1979-11-01,0.49,1.2701
1979-12-01,0.57,1.5267
1980-01-01,0.58,1.5535
1980-02-01,0.53,1.328
1980-03-01,0.8,2.1427
1980-04-01,0.58,1.5034
1980-05-01,0.56,1.4999
1980-06-01,0.55,1.4256
1980-07-01,0.56,1.4999
1980-08-01,0.53,1.4196
1980-09-01,0.5,1.296
1980-10-01,0.52,1.3928
1980-11-01,0.46,1.1923
1980-12-01,0.44,1.1785
1981-01-01,0.57,1.5267
1981-02-01,1.34,3.2417
1981-03-01,1.1,2.9462
1981-04-01,0.71,1.8403
1981-05-01,0.6,1.607
1981-06-01,0.59,1.5293
1981-07-01,0.57,1.5267
1981-08-01,0.56,1.4999
1981-11-01,0.49,1.2701
1982-01-01,0.62,1.6606
1982-02-01,0.72,1.7418
1982-03-01,0.65,1.741
1982-04-01,0.56,1.4515
1982-05-01,0.55,1.4731
1982-06-01,0.6,1.5552
1982-07-01,0.59,1.5803
1982-08-01,0.54,1.4463
1982-09-01,0.5,1.296
1982-10-01,0.5,1.3392
1982-11-01,0.48,1.2442
1982-12-01,0.52,1.3928
1983-01-01,0.43,1.1517
1983-02-01,0.38,0.9193
1983-03-01,0.43,1.1517
1983-04-01,0.44,1.1405
1983-05-01,0.48,1.2856
1983-06-01,0.49,1.2701
1983-07-01,0.45,1.2053
1983-08-01,0.45,1.2053
1983-09-01,0.39,1.0109
1983-10-01,0.42,1.1249
1983-11-01,0.39,1.0109
1983-12-01,0.41,1.0981
1984-01-01,0.81,2.1695
1984-02-01,1.89,4.7356
1984-03-01,1.49,3.9908
1984-04-01,0.78,2.0218
1984-05-01,0.57,1.5267
1984-06-01,0.59,1.5293
1984-07-01,0.58,1.5535
1986-01-01,1.68,4.4997
1986-02-01,2.85,6.8947
1986-03-01,1.72,4.6068
1986-04-01,1.03,2.6698
1986-05-01,0.8,2.1427
1986-06-01,0.74,1.9181
1986-08-01,0.68,1.8213
1986-09-01,0.6,1.5552
1986-10-01,0.55,1.4731
1986-11-01,0.55,1.4256
1986-12-01,0.7,1.8749
1987-01-01,2.33,6.2407
1987-02-01,1.22,2.9514
1987-03-01,0.79,2.1159
1987-04-01,0.68,1.7626
1987-05-01,0.67,1.7945
1987-06-01,0.75,1.944
1987-07-01,0.64,1.7142
1987-08-01,0.57,1.5267
1987-09-01,0.54,1.3997
1987-10-01,0.52,1.3928
1987-11-01,0.5,1.296
1988-01-01,0.9,2.4106
1988-02-01,0.94,2.3553
1988-03-01,1.05,2.8123
1988-04-01,0.89,2.3069
1988-05-01,0.67,1.7945
1989-01-01,0.62,1.6606
1989-02-01,3.84,9.2897
1989-03-01,0.93,2.4909
1989-04-01,0.84,2.1773
1989-05-01,0.7,1.8749
1989-06-01,0.62,1.607
1989-07-01,0.59,1.5803
1989-08-01,0.51,1.366
1989-09-01,0.52,1.3478
1989-10-01,0.49,1.3124
1989-11-01,0.45,1.1664
1989-12-01,0.4,1.0714
