date,caudal_antapucro_m3s,volumen_antapucro_mmc,caudal_manchay_m3s,volumen_manchay_mmc
1999-03-01,16.052,42.99,17.79,47.65
1999-04-01,9.85,25.53,11.619,30.12
1999-05-01,3.863,10.35,4.971,13.31
1999-06-01,1.18,3.06,1.581,4.1
1999-07-01,0.419,1.12,0.639,1.71
1999-08-01,0.271,0.73,0.561,1.5
1999-09-01,0.42,1.09,0.824,2.14
1999-10-01,2.351,6.3,2.582,6.92
1999-11-01,2.131,5.52,2.148,5.57
1999-12-01,3.746,10.03,3.745,10.03
2000-01-01,10.833,29.02,11.346,30.39
2000-02-01,17.524,43.91,18.021,45.15
2000-03-01,12.622,33.81,14.197,38.03
2000-04-01,5.983,15.51,7.455,19.32
2000-05-01,1.982,5.31,2.595,6.95
2000-06-01,0.625,1.62,0.85,2.2
2000-07-01,0.322,0.86,0.2,0.54
2000-08-01,0.111,0.3,0.0,0.0
2000-09-01,0.456,1.18,0.324,0.84
2000-10-01,2.258,6.05,2.406,6.44
2000-11-01,1.769,4.59,1.96,5.08
2000-12-01,5.162,13.83,5.371,14.39
2001-01-01,15.127,40.52,15.427,41.32
2001-02-01,13.573,32.84,14.331,34.67
2001-03-01,18.757,50.24,20.273,54.3
2001-04-01,9.497,24.62,11.189,29.0
2001-05-01,2.9,7.77,3.817,10.22
2001-06-01,0.961,2.49,1.393,3.61
2001-07-01,0.426,1.14,0.311,0.83
2001-08-01,0.259,0.69,0.228,0.61
2001-09-01,0.297,0.77,0.005,0.01
2001-10-01,0.531,1.42,0.463,1.24
2001-11-01,4.792,12.42,4.797,12.43
2001-12-01,1.808,4.84,2.058,5.51
2002-01-01,2.723,7.29,3.162,8.47
2002-02-01,12.587,30.45,13.206,31.95
2002-03-01,13.892,37.21,14.91,39.93
2002-04-01,8.945,23.19,10.016,25.96
2002-05-01,2.995,8.02,3.884,10.4
2002-06-01,0.853,2.21,1.728,4.48
2002-07-01,0.353,0.95,0.516,1.38
2002-08-01,0.061,0.16,0.0,0.0
2002-09-01,0.448,1.16,0.278,0.72
2002-10-01,1.98,5.3,1.824,4.89
2002-11-01,5.153,13.36,5.579,14.46
2002-12-01,3.803,10.19,4.427,11.86
