date,caudal_m3_s,volumen_mmc
1984-05-01,3.856,10.3279104
1984-06-01,3.295,8.540639999999998
1984-07-01,3.871,10.368086400000001
1984-08-01,3.885,10.405583999999998
1984-09-01,4.008,10.388736
1984-10-01,0.367,0.9829728000000001
1984-11-01,0.093,0.24105600000000002
1984-12-01,0.327,0.8758368000000001
1985-01-01,1.089,2.9167776
1985-02-01,4.657,11.2662144
1985-03-01,4.448,11.913523199999998
1985-04-01,0.44,1.1404799999999997
1985-05-01,2.409,6.4522656
1985-06-01,0.156,0.404352
1985-07-01,2.894,7.7512896
1985-08-01,3.299,8.8360416
1985-09-01,2.879,7.462368
1985-10-01,2.715,7.271855999999999
1985-11-01,2.686,6.962112
1985-12-01,2.98,7.981632
1986-01-01,26.776,71.7168384
1986-02-01,47.942,115.98128639999999
1986-03-01,63.009,168.7633056
1986-04-01,24.343,63.097056
1986-05-01,13.546,36.2816064
1986-06-01,12.283,31.837536
1986-07-01,12.296,32.9336064
1986-08-01,12.437,33.3112608
1986-09-01,13.161,34.113312
1986-10-01,13.408,35.9119872
1986-11-01,14.111,36.57571200000001
1986-12-01,13.95,37.36368
1987-01-01,27.003,72.32483520000001
1987-02-01,18.343,44.3753856
1987-03-01,13.132,35.172748799999994
1987-04-01,10.515,27.254880000000004
1987-05-01,9.445,25.297488
1987-06-01,8.238,21.352896
1987-07-01,8.263,22.131619200000003
1987-08-01,10.078,26.9929152
1987-09-01,10.157,26.326943999999997
1987-10-01,9.843,26.363491199999995
1987-11-01,10.488,27.184896
1987-12-01,10.43,27.935712
1988-01-01,2.305,6.173712
1988-02-01,0.0,0.0
1988-03-01,0.0,0.0
1988-04-01,4.128,10.699776
1988-05-01,5.465,14.637456
1988-06-01,1.248,3.234816
1988-07-01,2.02,5.410368
1988-08-01,6.102,16.3435968
1988-09-01,4.276,11.083392
1988-10-01,5.964,15.973977600000001
1988-11-01,6.083,15.767136
1988-12-01,1.183,3.1685472000000003
1989-01-01,3.257,8.723548800000001
1989-02-01,2.035,4.923072
1989-03-01,0.128,0.3428352
1989-04-01,0.0,0.0
1989-05-01,0.84,2.249856
1989-06-01,3.294,8.538048000000002
1989-07-01,5.068,13.5741312
1989-08-01,5.381,14.4124704
1989-09-01,5.264,13.644288000000001
1989-10-01,2.597,6.955804800000001
1989-11-01,4.296,11.135232
1989-12-01,3.907,10.4645088
1990-01-01,0.811,2.1721824
1990-02-01,0.654,1.5821568000000004
1990-03-01,0.782,2.0945088
1990-04-01,0.206,0.533952
1990-05-01,0.541,1.4490144
1990-06-01,3.963,10.272096
1990-07-01,2.859,7.6575456
1990-08-01,0.682,1.8266688000000002
1990-09-01,0.124,0.321408
1990-10-01,0.0,0.0
1990-11-01,0.0,0.0
1990-12-01,0.0,0.0
1991-01-01,0.0,0.0
1991-02-01,0.0,0.0
1991-03-01,0.0,0.0
1991-04-01,0.0,0.0
1991-05-01,0.0,0.0
1991-06-01,0.376,0.9745919999999999
1991-07-01,2.439,6.532617600000001
1991-08-01,3.79,10.151136
1991-09-01,5.639,14.616288000000003
1991-10-01,7.1,19.01664
1991-11-01,2.694,6.982847999999999
1991-12-01,7.895,21.145967999999996
1992-01-01,3.351,8.9753184
1992-02-01,1.245,3.1194720000000005
1992-03-01,0.0,0.0
1992-04-01,0.0,0.0
1992-05-01,1.349,3.6131616
1992-06-01,0.725,1.8792
1992-07-01,0.0,0.0
1992-08-01,0.348,0.9320832
1992-09-01,2.01,5.209919999999999
1992-10-01,0.744,1.9927296
1992-11-01,0.887,2.299104
1992-12-01,0.773,2.0704032000000003
1993-01-01,8.218,22.0110912
1993-02-01,3.944,9.541324799999998
1993-03-01,8.832,23.655628800000002
1993-04-01,4.53,11.741760000000001
1993-05-01,3.013,8.070019199999999
1993-06-01,2.267,5.8760639999999995
1993-07-01,4.403,11.7929952
1993-08-01,5.062,13.558060799999998
1993-09-01,5.387,13.963103999999998
1993-10-01,5.547,14.857084799999999
1993-11-01,5.457,14.144544
1993-12-01,5.434,14.554425600000002
1994-01-01,0.661,1.7704224
1994-02-01,0.226,0.5467392000000001
1994-03-01,0.027,0.0723168
1994-04-01,1995.0,5171.04
1994-05-01,0.061,0.16338239999999998
1994-06-01,1996.0,5173.632
1994-07-01,2.315,6.200496
1994-08-01,0.186,0.4981824
1994-09-01,0.079,0.204768
1994-10-01,0.174,0.4660416
1994-11-01,0.51,1.3219200000000002
1994-12-01,0.519,1.3900896000000003
1995-01-01,0.216,0.5785344
1995-02-01,0.0,0.0
1995-03-01,0.0,0.0
1995-04-01,0.0,0.0
1995-05-01,4.519,12.1036896
1995-06-01,5.034,13.048127999999998
1995-07-01,4.883,13.0786272
1995-08-01,5.076,13.5955584
1995-09-01,5.12,13.271039999999998
1995-10-01,4.848,12.984883199999997
1995-11-01,1.556,4.033152
1995-12-01,0.0,0.0
1996-01-01,0.903,2.4185952000000004
1996-02-01,0.0,0.0
1996-03-01,0.0,0.0
1996-04-01,0.0,0.0
1996-05-01,0.0,0.0
1996-06-01,3.963,10.272096
1996-07-01,4.742,12.7009728
1996-08-01,5.009,13.4161056
1996-09-01,4.938,12.799295999999998
1996-10-01,4.667,12.5000928
1996-11-01,0.673,1.7444160000000002
1996-12-01,0.0,0.0
1997-01-01,0.281,0.7526304
1997-02-01,0.0,0.0
1997-03-01,0.0,0.0
1997-04-01,0.37,0.9590399999999999
1997-05-01,0.0,0.0
1997-06-01,4.819,12.490848
1997-07-01,5.56,14.891903999999998
1997-08-01,5.137,13.7589408
1997-09-01,4.635,12.01392
1997-10-01,2.47,6.615648000000001
1997-11-01,2.838,7.356096
1997-12-01,3.116,8.3458944
1998-01-01,0.721,1.9311264
1998-02-01,0.0,0.0
1998-03-01,0.103,0.27587519999999993
1998-04-01,2.542,6.588863999999999
1998-05-01,0.143,0.3830112
1998-06-01,0.0,0.0
1998-07-01,0.0,0.0
1998-08-01,4.955,13.271471999999997
1998-09-01,5.41,14.022720000000001
1998-10-01,5.644,15.116889600000002
1998-11-01,5.847,15.155424
1998-12-01,5.724,15.331161600000003
1999-01-01,6.068,16.2525312
1999-02-01,11.005,26.623296000000003
1999-03-01,17.751,47.5442784
1999-04-01,8.427,21.842784
1999-05-01,4.731,12.6715104
1999-06-01,3.315,8.59248
1999-07-01,3.002,8.0405568
1999-08-01,2.449,6.5594016
1999-09-01,2.903,7.524575999999999
1999-10-01,5.668,15.181171200000001
1999-11-01,5.826,15.100992
1999-12-01,5.455,14.610671999999997
2000-01-01,6.24,16.713216
2000-02-01,9.902,24.8104512
2000-03-01,6.001,16.073078400000004
2000-04-01,4.639,12.024288000000002
2000-05-01,8.307,22.249468799999995
2000-06-01,6.023,15.611615999999998
2000-07-01,3.372,9.0315648
2000-08-01,1.223,3.2756832
2000-09-01,3.347,8.675424
2000-10-01,4.772,12.7813248
2000-11-01,5.628,14.587776
2000-12-01,6.01,16.097184000000002
2001-01-01,32.5,87.048
2001-02-01,119.5,289.0944
2001-03-01,83.5,223.6464
2001-04-01,19.1,49.5072
2001-05-01,0.0,0.0
2001-06-01,0.0,0.0
2001-07-01,0.0,0.0
2001-08-01,0.0,0.0
2001-09-01,0.0,0.0
2001-10-01,3.8,10.17792
2001-11-01,0.6,1.5552
2001-12-01,2.4,6.42816
2002-01-01,4.014,10.751097600000001
2002-02-01,0.095,0.229824
2002-03-01,0.0,0.0
2002-04-01,3.861,10.007712
2002-05-01,1.932,5.1746688
2002-06-01,0.287,0.743904
2002-07-01,0.062,0.16606079999999998
2002-08-01,2.424,6.4924415999999985
2002-09-01,4.09,10.601279999999997
2002-10-01,5.263,14.0964192
2002-11-01,4.857,12.589344
2002-12-01,5.313,14.230339200000001
2003-01-01,2.577,6.9022368
2003-02-01,1.448,3.5030015999999997
2003-03-01,6.672,17.8702848
2003-04-01,6.256,16.215552
2003-05-01,5.121,13.7160864
2003-06-01,5.077,13.159584
2003-07-01,5.068,13.5741312
2003-08-01,5.063,13.5607392
2003-09-01,5.076,13.156992
2003-10-01,1.49,3.990816
2003-11-01,0.0,0.0
2003-12-01,0.608,1.6284672
